0,156
156,340
340,154
154,339
339,151
151,338
338,150
150,337
337,145
145,334
334,137
137,326
326,135
135,325
325,136
136,327
327,124
124,319
319,123
123,315
315,122
122,313
313,121
121,293
293,112
112,304
304,120
120,311
311,117
117,309
309,118
118,314
314,119
119,310
310,126
126,317
317,127
127,316
316,133
133,322
322,123
123,321
321,134
134,320
320,135
135,324
324,136
136,328
328,124
124,329
329,137
137,332
332,146
146,336
336,150
150,339
339,153
153,340
340,157
157,344
344,158
158,349
349,159
159,350
350,160
160,351
351,163
163,348
348,156
156,341
341,152
152,338
338,149
149,337
337,151
151,336
336,125
125,319
319,121
121,303
303,120
120,312
312,122
122,311
311,119
119,309
309,123
123,314
314,117
117,283
283,71
71,281
281,74
74,276
276,114
114,305
305,112
112,292
292,84
84,291
291,83
83,280
280,72
72,267
267,68
68,249
249,73
73,284
284,76
76,285
285,75
75,286
286,77
77,289
289,79
79,288
288,119
119,313
313,123
123,318
318,124
124,326
326,136
136,329
329,138
138,327
327,135
135,323
323,129
129,324
324,128
128,319
319,120
120,290
290,78
78,286
286,76
76,288
288,77
77,283
283,75
75,282
282,74
74,284
284,79
79,287
287,122
122,314
314,121
121,302
302,119
119,312
312,123
123,317
317,118
118,285
285,73
73,281
281,72
72,252
252,77
77,255
255,65
65,205
205,66
66,235
235,68
68,272
272,111
111,290
290,109
109,301
301,121
121,312
312,117
117,280
280,76
76,287
287,75
75,284
284,72
72,262
262,71
71,251
251,93
93,263
263,89
89,295
295,113
113,275
275,119
119,277
277,115
115,306
306,122
122,309
309,120
120,305
305,117
117,313
313,118
118,315
315,116
116,308
308,121
121,284
284,71
71,282
282,68
68,271
271,80
80,278
278,69
69,250
250,70
70,268
268,67
67,248
248,72
72,239
239,66
66,208
208,62
62,189
189,61
61,187
187,60
60,185
185,63
63,197
197,64
64,201
201,65
65,254
254,80
80,253
253,74
74,285
285,106
106,284
284,113
113,305
305,122
122,307
307,115
115,314
314,120
120,313
313,127
127,318
318,121
121,311
311,132
132,312
312,118
118,310
310,111
111,294
294,86
86,283
283,76
76,277
277,75
75,288
288,110
110,292
292,83
83,275
275,72
72,268
268,69
69,247
247,65
65,228
228,68
68,245
245,101
101,279
279,117
117,270
270,118
118,269
269,71
71,239
239,67
67,266
266,98
98,278
278,116
116,281
281,120
120,310
310,122
122,308
308,126
126,299
299,123
123,320
320,121
121,326
326,85
85,325
325,137
137,327
327,139
139,333
